218.38.186.235,8080,,,GoAhead-Webs,text/html,AS,KR,37.57,126.98
181.51.40.43,8080,,,,,SA,CO,4.5981,-74.0758
190.156.66.49,8080,,,,,SA,CO,4.6492,-74.0628
190.157.17.194,8080,,,,,SA,CO,4.5981,-74.0758
223.33.80.146,8080,,,webs,text/html,AS,KR,37.57,126.98
91.126.67.122,8080,,,,text/html,EU,ES,40.4024,-3.6924
46.30.40.35,8080,,,Apache,text/html; charset=utf-8,EU,RU,55.75,37.6166
177.228.102.8,8080,,,,,NA,MX,19.2,-96.1333
216.105.74.152,8080,,,micro_httpd,text/html,NA,US,45.2629,-122.6926
69.62.140.140,8080,,,GoAhead-Webs,text/html,NA,US,38.8916,-121.293
192.255.79.192,8080,,,Apache/2.2.15 (CentOS),text/html; charset=iso-8859-1,NA,US,35.4707,-97.5205
39.121.235.198,8080,,,webs,text/html,AS,KR,37.57,126.98
181.54.6.180,8080,,,,,SA,CO,4.5981,-74.0758
161.50.80.254,8080,,,,text/html,OC,AU,-27.0,133.0
189.232.164.115,8080,,,rhttpd,text/html,NA,MX,19.43,-99.13
187.233.98.97,8080,,,,,NA,MX,19.43,-99.13
23.231.142.106,8080,,,Apache,text/html,NA,US,34.1706,-118.8376
97.80.212.236,8080,,,alphapd,,NA,US,38.0,-97.0
189.180.94.250,8080,,,,,NA,MX,19.43,-99.13
190.84.96.229,8080,,,,,SA,CO,4.5981,-74.0758
189.154.28.149,8080,,,,text/html,NA,MX,19.43,-99.13
209.137.235.197,8080,,,Intoto Http Server v1.0,,NA,US,46.4399,-112.0167
