151.5.152.170, 80, HTTP/1.1, 301, Httpd, 
168.168.32.22, 80, HTTP/1.1, 302, , 
174.54.130.174, 80, HTTP/1.0, 302, GoAhead-Webs, text/html
95.101.93.95, 80, HTTP/1.0, 400, AkamaiGHost, text/html
173.92.145.186, 80, HTTP/1.1, 200, , 
70.116.72.104, 80, HTTP/1.0, 302, GoAhead-Webs, text/html
208.65.130.61, 80, HTTP/1.1, 400, , text/html
74.204.168.251, 80, HTTP/1.1, 200, Apache, text/html
23.15.48.213, 80, HTTP/1.0, 400, AkamaiGHost, text/html
209.242.203.112, 80, HTTP/1.1, 400, squid/3.3.5, text/html
90.184.226.179, 80, HTTP/1.1, 200, mini_httpd/1.19 19dec2003, text/html; charset=iso-8859-1
23.33.2.64, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.39.153.53, 80, HTTP/1.0, 400, AkamaiGHost, text/html
31.135.87.225, 80, HTTP/1.1, 302, , 
27.126.188.52, 80, HTTP/1.1, 200, Microsoft-IIS/6.0, text/html
23.37.236.83, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.32.176.174, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.213.139.99, 80, HTTP/1.0, 400, AkamaiGHost, text/html
74.126.74.217, 80, HTTP/1.1, 401, micro_httpd, text/html
209.234.222.200, 80, HTTP/1.1, 401, micro_httpd, text/html
62.117.179.157, 80, HTTP/1.1, 401, mini_httpd/1.19 19dec2003, text/html; charset=%s
23.76.104.140, 80, HTTP/1.0, 400, AkamaiGHost, text/html
213.149.150.69, 80, HTTP/1.1, 403, Apache/2.2.15 (CentOS), text/html
177.36.199.195, 80, HTTP/1.1, 401, Boa/0.94.14rc21, text/html; charset=ISO-8859-1
118.214.65.214, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.109.154.202, 80, HTTP/1.1, 500, nginx, text/html
5.78.247.211, 80, HTTP/1.1, 404, Apache, text/html; charset=UTF-8
2.17.53.159, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.40.22.131, 80, HTTP/1.0, 400, AkamaiGHost, text/html
172.224.107.240, 80, HTTP/1.0, 400, AkamaiGHost, text/html
174.108.246.167, 80, HTTP/1.1, 200, , 
