84.123.170.157, 8080, HTTP/1.1, 401, mini_httpd/1.19 19dec2003, text/html; charset=%s
186.84.183.133, 8080, HTTP/1.1, 401, , 
83.83.23.22, 8080, HTTP/1.0, 401, Intoto Http Server v1.0, 
121.169.129.29, 8080, HTTP/1.1, 200, thttpd/2.25b 29dec2003, text/html; charset=euc-kr
187.155.104.172, 8080, HTTP/1.1, 200, , text/html
218.38.186.235, 8080, HTTP/1.0, 302, GoAhead-Webs, text/html
181.51.40.43, 8080, HTTP/1.1, 401, , 
190.156.66.49, 8080, HTTP/1.1, 401, , 
190.157.17.194, 8080, HTTP/1.1, 200, , 
223.33.80.146, 8080, HTTP/1.1, 401, webs, text/html
91.126.67.122, 8080, HTTP/1.0, 403, , text/html
46.30.40.35, 8080, HTTP/1.0, 301, Apache, text/html; charset=utf-8
177.228.102.8, 8080, HTTP/1.1, 200, , 
216.105.74.152, 8080, HTTP/1.1, 401, micro_httpd, text/html
69.62.140.140, 8080, HTTP/1.1, 401, GoAhead-Webs, text/html
192.255.79.192, 8080, HTTP/1.1, 404, Apache/2.2.15 (CentOS), text/html; charset=iso-8859-1
39.121.235.198, 8080, HTTP/1.0, 302, webs, text/html
181.54.6.180, 8080, HTTP/1.1, 401, , 
161.50.80.254, 8080, HTTP/1.0, 403, , text/html
189.232.164.115, 8080, HTTP/1.1, 302, rhttpd, text/html
187.233.98.97, 8080, HTTP/1.0, 200, , 
23.231.142.106, 8080, HTTP/1.1, 200, Apache, text/html
97.80.212.236, 8080, HTTP/1.0, 401, alphapd, 
189.180.94.250, 8080, HTTP/1.0, 200, , 
190.84.96.229, 8080, HTTP/1.1, 401, , 
189.154.28.149, 8080, HTTP/1.1, 200, , text/html
209.137.235.197, 8080, HTTP/1.0, 401, Intoto Http Server v1.0, 
